State,County,Max AQI,90th Percentile AQI,Median AQI
Alabama,Baldwin,84,53,39
Alabama,Clay,75,53,29
Alabama,DeKalb,87,58,44
Alabama,Elmore,58,47,37
Alabama,Etowah,93,61,47
Alabama,Madison,89,58,44
Alabama,Mobile,80,58,46
Alabama,Montgomery,75,57,44
Alabama,Morgan,79,59,45
Alabama,Russell,98,55,42
Alabama,Shelby,97,48,39
Alabama,Sumter,72,52,35
Alabama,Tuscaloosa,125,53,36
Alaska,Anchorage ,80,58,24
Alaska,Denali ,58,44,36
Alaska,Fairbanks North Star ,325,99,48
Alaska,Juneau ,73,54,24
Alaska,Matanuska-Susitna ,74,51,16
Arizona,Apache,49,26,12
Arizona,Cochise,307,80,49
Arizona,Coconino,136,77,47
Arizona,Gila,159,101,54
Arizona,La Paz,105,77,50
Arizona,Maricopa,261,107,70
Arizona,Mohave,69,30,19
Arizona,Navajo,45,19,11
Arizona,Pima,171,90,58
Arizona,Pinal,289,108,64
Arizona,Santa Cruz,494,63,38
Arizona,Yavapai,115,84,50
Arizona,Yuma,102,74,46
Arkansas,Clark,67,48,36
Arkansas,Crittenden,133,59,42
Arkansas,Newton,79,48,39
Arkansas,Polk,167,57,41
Arkansas,Pulaski,205,74,53
Arkansas,Washington,101,54,43
California,Amador,100,61,39
California,Butte,93,61,42
California,Calaveras,101,64,41
California,Colusa,75,62,55
California,Del Norte,66,53,34
California,El Dorado,115,67,41
California,Fresno,169,115,61
California,Glenn,61,50,38
California,Humboldt,86,52,35
California,Imperial,136,101,56
California,Inyo,1322,88,59
California,Kern,156,91,61
California,Kings,156,82,52
California,Los Angeles,230,164,75
California,Madera,122,64,45
California,Mariposa,133,77,45
California,Merced,133,74,47
California,Mono,69,40,18
California,Monterey,68,54,39
California,Nevada,97,51,34
California,Orange,126,71,52
California,Placer,140,93,49
California,Plumas,107,84,52
California,Riverside,213,174,84
California,Sacramento,119,62,44
California,San Benito,105,58,42
California,San Bernardino,227,187,87
California,San Diego,159,93,51
California,San Joaquin,90,65,44
California,San Luis Obispo,101,64,44
California,Santa Barbara,108,57,44
California,Santa Cruz,66,53,39
California,Shasta,108,54,43
California,Solano,80,48,37
California,Sonoma,53,34,14
California,Stanislaus,143,74,47
California,Sutter,105,58,44
California,Tehama,105,64,38
California,Trinity,113,55,26
California,Tulare,185,140,65
California,Tuolumne,101,51,38
California,Ventura,122,68,48
California,Yolo,90,60,43
Colorado,Adams,161,100,54
Colorado,Alamosa,98,39,23
Colorado,Arapahoe,161,93,51
Colorado,Archuleta,64,44,32
Colorado,Boulder,154,80,48
Colorado,Clear Creek,136,87,50
Colorado,Denver,172,100,55
Colorado,Douglas,166,100,50
Colorado,El Paso,166,84,50
Colorado,Fremont,51,26,13
Colorado,Garfield,133,71,48
Colorado,Gilpin,150,84,49
Colorado,Gunnison,100,71,48
Colorado,Jackson,77,51,45
Colorado,Jefferson,174,108,58
Colorado,La Plata,101,74,48
Colorado,Larimer,161,93,54
Colorado,Mesa,90,58,42
Colorado,Montezuma,101,71,47
Colorado,Pitkin,76,36,17
Colorado,Prowers,98,51,26
Colorado,Pueblo,143,77,47
Colorado,Rio Blanco,90,64,46
Colorado,Routt,53,29,13
Colorado,San Miguel,59,27,15
Colorado,Weld,164,90,52
Connecticut,Fairfield,154,71,42
Connecticut,Hartford,185,57,39
Connecticut,Litchfield,119,58,40
Connecticut,Middlesex,177,64,41
Connecticut,New Haven,156,59,42
Connecticut,New London,122,53,38
Connecticut,Tolland,156,67,39
Connecticut,Windham,122,47,36
Country Of Mexico,SONORA,173,77,52
Delaware,Kent,93,58,43
Delaware,New Castle,115,65,44
Delaware,Sussex,87,54,42
District Of Columbia,District of Columbia,114,64,45
Florida,Alachua,94,52,41
Florida,Baker,87,56,45
Florida,Bay,72,60,49
Florida,Brevard,74,54,43
Florida,Broward,154,64,51
Florida,Citrus,272,56,44
Florida,Collier,87,58,45
Florida,Columbia,93,60,47
Florida,Duval,97,64,50
Florida,Escambia,84,59,44
Florida,Flagler,71,48,38
Florida,Hamilton,75,58,46
Florida,Highlands,77,58,41
Florida,Hillsborough,143,71,52
Florida,Holmes,72,58,48
Florida,Indian River,51,44,35
Florida,Lake,100,54,41
Florida,Lee,80,54,38
Florida,Leon,129,62,45
Florida,Liberty,54,44,32
Florida,Manatee,115,51,39
Florida,Marion,101,61,52
Florida,Martin,71,53,41
Florida,Miami-Dade,197,61,50
Florida,Okaloosa,74,50,38
Florida,Orange,121,59,42
Florida,Osceola,108,51,41
Florida,Palm Beach,76,58,45
Florida,Pasco,97,61,42
Florida,Pinellas,132,61,49
Florida,Polk,105,58,46
Florida,Putnam,112,47,22
Florida,Santa Rosa,81,59,46
Florida,Sarasota,115,63,46
Florida,Seminole,149,61,44
Florida,St. Lucie,64,48,39
Florida,Volusia,76,53,42
Florida,Wakulla,80,56,43
Georgia,Bibb,123,66,51
Georgia,Chatham,130,58,43
Georgia,Chattooga,77,49,39
Georgia,Clarke,126,63,45
Georgia,Clayton,128,64,45
Georgia,Cobb,86,65,48
Georgia,Coffee,137,59,44
Georgia,Columbia,90,49,37
Georgia,Dawson,154,49,39
Georgia,DeKalb,133,69,47
Georgia,Dougherty,121,63,46
Georgia,Douglas,133,64,41
Georgia,Floyd,89,60,38
Georgia,Fulton,129,68,49
Georgia,Glynn,84,55,38
Georgia,Gwinnett,161,72,53
Georgia,Hall,100,69,52
Georgia,Henry,133,64,42
Georgia,Houston,105,60,42
Georgia,Lowndes,110,59,43
Georgia,Murray,77,58,41
Georgia,Muscogee,127,66,49
Georgia,Pike,126,64,41
Georgia,Richmond,105,63,47
Georgia,Rockdale,115,58,40
Georgia,Sumter,84,50,39
Georgia,Walker,98,66,51
Georgia,Washington,101,62,44
Hawaii,Hawaii,57,29,20
Hawaii,Honolulu,85,42,34
Hawaii,Maui,101,38,24
Idaho,Ada,157,64,43
Idaho,Bannock,67,47,35
Idaho,Benewah,111,61,40
Idaho,Blaine,44,22,12
Idaho,Boise,76,53,29
Idaho,Bonner,73,43,22
Idaho,Bonneville,60,30,16
Idaho,Butte,97,64,44
Idaho,Canyon,152,53,28
Idaho,Franklin,161,59,21
Idaho,Idaho,217,69,42
Idaho,Kootenai,48,31,17
Idaho,Latah,59,31,19
Idaho,Lemhi,111,67,19
Idaho,Nez Perce,165,63,26
Idaho,Shoshone,91,59,38
Idaho,Twin Falls,59,48,14
Idaho,Valley,73,48,27
Illinois,Adams,97,49,43
Illinois,Champaign,100,60,45
Illinois,Clark,90,50,38
Illinois,Cook,166,87,54
Illinois,DuPage,97,63,45
Illinois,Effingham,101,49,41
Illinois,Hamilton,112,61,46
Illinois,Jersey,112,61,44
Illinois,Jo Daviess,80,48,38
Illinois,Kane,105,64,42
Illinois,Lake,140,74,41
Illinois,Macon,101,60,43
Illinois,Macoupin,105,47,37
Illinois,Madison,165,74,50
Illinois,McHenry,108,61,43
Illinois,McLean,112,61,44
Illinois,Peoria,100,61,44
Illinois,Randolph,100,54,41
Illinois,Rock Island,84,55,44
Illinois,Saint Clair,112,65,47
Illinois,Sangamon,105,58,43
Illinois,Will,84,60,44
Illinois,Winnebago,119,61,44
Indiana,Allen,100,65,45
Indiana,Bartholomew,101,59,44
Indiana,Boone,93,61,40
Indiana,Brown,77,49,39
Indiana,Carroll,90,54,40
Indiana,Clark,150,64,48
Indiana,Delaware,97,62,44
Indiana,Dubois,70,59,41
Indiana,Elkhart,93,64,46
Indiana,Floyd,154,61,43
Indiana,Greene,97,57,43
Indiana,Hamilton,108,61,44
Indiana,Hendricks,80,49,37
Indiana,Henry,75,56,35
Indiana,Howard,93,64,46
Indiana,Knox,90,58,41
Indiana,LaPorte,115,67,43
Indiana,Lake,166,74,52
Indiana,Madison,97,61,44
Indiana,Marion,116,73,52
Indiana,Monroe,61,54,33
Indiana,Perry,90,54,42
Indiana,Porter,112,64,46
Indiana,Posey,122,49,39
Indiana,Shelby,87,51,39
Indiana,St. Joseph,115,66,47
Indiana,Tippecanoe,67,57,38
Indiana,Vanderburgh,119,63,46
Indiana,Vigo,112,64,48
Indiana,Wabash,84,51,39
Indiana,Warrick,101,51,41
Indiana,Whitley,70,56,34
Iowa,Black Hawk,87,59,44
Iowa,Bremer,74,54,40
Iowa,Clinton,90,60,46
Iowa,Harrison,90,54,42
Iowa,Johnson,83,57,38
Iowa,Linn,79,61,45
